Tiempo de inicio Orden, OrdenId, ClienteId, Direccion, Tipos de productos y tiempo de coccion
207,170,170,2=2,2=4
208,171,171,2=1,1=3
209,172,172,2=6,3=3
210,173,173,6=2,2=1#3=3
211,174,174,2=2,1=1#2=4
212,175,175,1=2,1=4
213,176,176,2=2,1=5
214,177,177,2=1,2=2
215,178,178,2=6,3=1
216,179,179,6=2,2=2
217,180,180,1=3,3=1
218,181,181,4=4,1=5
219,182,182,3=3,2=2
220,183,183,1=3,3=1
221,184,184,2=2,3=2
222,185,185,2=1,1=3
223,186,186,2=6,3=3
224,187,187,6=3,2=1#3=3
225,188,188,1=4,1=1#2=4
226,189,189,4=5,1=4
227,190,190,3=4,2=1
228,191,191,1=4,3=1
229,192,192,2=2,2=4
230,193,193,4=3,3=3
231,194,194,3=2,1=1#2=3
232,195,195,1=2,2=1
233,196,196,2=2,3=1
234,197,197,1=4,1=1
235,198,198,2=2,2=2
236,199,199,3=3,3=2
237,200,200,2=4,2=1
238,201,201,4=2,3=3
239,202,202,1=4,3=2
240,203,203,1=5,3=3
241,204,204,2=3,2=1#3=3
242,205,205,3=4,1=1#2=4
243,206,206,2=5,1=4
244,207,207,4=3,1=5
245,208,208,1=5,2=2
246,209,209,1=6,3=1
247,210,210,2=4,3=2
248,211,211,3=5,1=3
249,212,212,2=6,3=3
250,213,213,4=4,2=1#3=3
251,214,214,1=6,1=1#2=4
252,215,215,1=7,1=4
253,216,216,2=5,1=5
254,217,217,1=4,2=2
255,218,218,2=2,3=1
256,219,219,3=3,3=2
257,220,220,2=4,1=4
258,221,221,4=2,3=3
259,222,222,1=5,1=1#2=3
260,223,223,1=6,2=1
261,224,224,1=4,3=1
262,225,225,1=5,1=1
263,226,226,2=3,2=2
264,227,227,3=4,3=2
265,228,228,2=5,2=1
266,229,229,4=3,3=3
267,230,230,1=5,3=2
268,231,231,1=6,3=3
269,232,232,2=4,2=1#3=3
270,233,233,3=5,1=1#2=4
271,234,234,2=6,1=4
272,235,235,4=4,1=5
273,236,236,1=6,2=2
274,237,237,1=7,3=1
275,238,238,2=5,3=2
276,239,239,1=4,1=3
277,240,240,2=2,3=3
278,241,241,3=3,3=3
279,242,242,2=4,2=1#3=3
280,243,243,4=2,1=1#2=4
281,244,244,1=5,1=4
282,245,245,1=4,1=5
283,246,246,4=2,2=2
284,247,247,4=3,3=1
285,248,248,3=3,3=2
286,249,249,4=1,1=4
287,250,250,4=2,2=1#3=3
288,251,251,3=4,1=1#2=4
289,252,252,4=3,1=4
290,253,253,4=4,1=5
291,254,254,4=5,2=2
292,255,255,3=4,3=1
293,256,256,4=3,3=2
294,257,257,4=4,1=4
295,258,258,3=5,1=5
296,259,259,4=4,2=2
297,260,260,4=6,3=1
298,261,261,4=7,3=2
299,262,262,3=5,3=1
300,263,263,4=5,1=5
301,264,264,4=6,2=2
302,265,265,3=6,3=1
303,266,266,4=5,3=2
304,267,267,4=4,1=3
305,268,268,4=5,3=3
306,269,269,3=4,2=1#3=3
307,270,270,4=3,2=2
315,271,271,1=4,3=1
330,272,272,2=2,3=2
331,273,273,3=3,1=3
332,274,274,2=4,3=3
333,275,275,4=2,2=1#3=3
334,276,276,1=5,1=1#2=4
335,277,277,1=4,1=4
336,278,278,4=2,2=1
337,279,279,4=3,3=1
338,280,280,3=3,2=4
339,281,281,4=1,3=3
340,282,282,4=2,1=1#2=3
341,283,283,3=4,2=1
342,284,284,4=3,3=1
343,285,285,4=5,1=1
344,286,286,3=4,1=1#2=4
345,287,287,4=3,1=4
346,288,288,4=4,2=1
347,289,289,3=5,3=1
348,290,290,4=6,2=4
349,291,291,4=7,3=3
350,292,292,4=8,1=1#2=3
351,293,293,3=5,2=1
352,294,294,4=4,3=1
353,295,295,4=5,1=1
354,296,296,3=4,2=2
355,297,297,4=3,3=2
356,298,298,4=4,2=1
357,299,299,3=5,3=3
358,300,300,4=6,3=2
359,301,301,4=7,2=2
360,302,302,4=8,1=4
361,303,303,4=5,2=1#3=3
362,304,304,3=4,1=1#2=4
363,305,305,4=3,1=4
364,306,306,4=4,1=5
365,307,307,4=2,2=2
366,308,308,1=5,3=1
367,309,309,1=4,1=5
368,310,310,4=2,2=2
369,311,311,4=3,3=1
370,312,312,4=7,3=2
371,313,313,4=8,1=3
372,314,314,3=5,3=3
373,315,315,4=4,2=1#3=3
374,316,316,4=5,1=1#2=4
375,317,317,2=3,1=4
376,318,318,2=4,2=1
377,319,319,1=3,3=1
378,320,320,2=2,2=4
379,321,321,1=4,3=3
380,322,322,3=9,1=1#2=3
381,323,323,2=4,3=2
382,324,324,1=2,2=1
383,325,325,1=3,3=3
384,326,326,4=4,3=2
385,327,327,4=5,2=2
386,328,328,2=3,1=1
387,329,329,2=4,1=5
388,330,330,1=3,2=2
389,331,331,2=2,3=1
390,332,332,1=4,3=2
391,333,333,3=9,1=3
392,334,334,2=4,3=3
393,335,335,1=2,2=1#3=3
394,336,336,1=3,1=1#2=4
395,337,337,2=3,1=4
396,338,338,3=4,2=1
397,339,339,2=5,3=1
398,340,340,2=6,2=4
399,341,341,1=3,3=3
400,342,342,3=5,1=1#2=3
401,343,343,3=7,2=2
402,344,344,1=0,3=1
403,345,345,1=1,1=5
404,346,346,2=2,2=2
405,347,347,3=3,3=1
406,348,348,2=3,1=2
407,349,349,2=4,3=2
408,350,350,1=3,1=4
409,351,351,2=2,1=5
410,352,352,4=4,2=2
411,353,353,4=5,3=1
412,354,354,2=3,3=2
413,355,355,2=4,2=4
414,356,356,1=3,1=3
415,357,357,2=2,3=3
416,358,358,1=4,2=1#3=1
417,359,359,3=9,1=1#2=2
418,360,360,2=4,2=1#3=2
419,361,361,1=2,1=1#2=3
420,362,362,1=3,3=2
421,363,363,4=4,1=4
422,364,364,4=5,1=5
423,365,365,2=3,2=2
424,366,366,2=4,3=1
425,367,367,3=4,3=2
426,368,368,2=5,2=4
427,369,369,2=6,1=3
428,370,370,1=3,3=3
429,371,371,3=5,2=1#3=1
430,372,372,3=7,3=3
431,373,373,1=0,2=1#3=1
432,374,374,1=1,1=1#2=2
433,375,375,2=2,2=1#3=2
434,376,376,3=3,1=1#2=3
435,377,377,2=3,2=1#3=3
436,378,378,2=4,2=2
437,379,379,1=3,1=1
438,380,380,2=2,3=1
439,381,381,4=4,1=2
440,382,382,4=5,1=3
441,383,383,2=3,2=1
442,384,384,1=5,3=1
443,385,385,1=1,2=2
444,386,386,1=3,3=1
445,387,387,2=2,1=3
446,388,388,4=4,3=3
447,389,389,4=5,2=1#3=1
448,390,390,2=3,1=1#2=2
449,391,391,1=5,2=2
450,392,392,1=1,1=1
451,393,393,2=2,3=1
452,394,394,3=3,1=2
453,395,395,4=4,1=3
454,396,396,2=1,2=1
455,397,397,2=2,3=1
456,398,398,2=3,3=0
457,399,399,3=1,2=3
458,400,400,3=2,1=3
459,401,401,2=2,2=1
460,402,402,3=3,3=1
461,403,403,4=4,2=2
462,404,404,2=1,3=1
463,405,405,2=2,1=3
464,406,406,2=3,3=3
465,407,407,3=1,2=1#3=1
466,408,408,3=2,1=1#2=2
467,409,409,1=2,2=2
468,410,410,2=2,1=1
469,411,411,3=2,3=1
470,412,412,1=4,1=2
471,413,413,5=2,3=2
472,414,414,1=3,1=4
473,415,415,2=2,1=5
474,416,416,4=4,2=2
475,417,417,4=5,3=1
476,418,418,2=3,3=2
477,419,419,1=5,2=4
478,420,420,1=1,1=3
479,421,421,2=2,3=3
480,422,422,3=3,2=1#3=1
481,423,423,4=4,1=1#2=2
490,424,424,2=3,2=1#3=2
501,425,425,3=1,1=1#2=3
502,426,426,3=2,2=1#3=3
503,427,427,1=2,1=1#2=4
504,428,428,2=2,2=2
505,429,429,3=2,3=1
506,430,430,2=3,3=2
507,431,431,1=5,2=4
508,432,432,1=1,1=3
509,433,433,2=2,3=3
510,434,434,3=3,2=1#3=1
511,435,435,4=5,1=1#2=2
512,436,436,2=3,2=4
513,437,437,1=5,1=3
514,438,438,4=2,3=3
515,439,439,1=2,2=1#3=1
516,440,440,1=3,1=1#2=2
517,441,441,2=2,1=1#2=4
518,442,442,4=4,2=1#3=4
519,443,443,4=5,1=2
520,444,444,2=3,3=2
521,445,445,1=5,1=4
522,446,446,1=1,1=5
523,447,447,2=2,2=2
524,448,448,3=3,3=1
525,449,449,4=4,3=2
526,450,450,2=3,2=4
527,451,451,3=1,1=3
528,452,452,3=2,2=1#3=4
529,453,453,1=2,1=2
530,454,454,2=3,3=2
531,455,455,2=4,1=4
532,456,456,4=3,1=5
533,457,457,1=1,2=2
534,458,458,1=2,3=1
535,459,459,2=4,3=2
536,460,460,2=3,2=4
537,461,461,2=3,1=3
538,462,462,3=1,3=3
539,463,463,3=2,2=1#3=1
540,464,464,1=2,1=4
541,465,465,1=0,1=5
542,466,466,2=3,2=2
550,467,467,1=2,3=1
563,468,468,2=4,1=3
582,469,469,2=4,3=0
583,470,470,2=3,2=3
584,471,471,3=1,1=2
585,472,472,3=2,3=2
586,473,473,1=2,1=4
587,474,474,4=3,2=1#3=3
588,475,475,1=1,1=1#2=4
589,476,476,1=2,1=4
590,477,477,2=4,1=5
591,478,478,2=3,2=2
592,479,479,4=2,3=1
593,480,480,1=1,1=5
594,481,481,1=0,2=2
595,482,482,1=2,3=1
596,483,483,2=4,1=3
597,484,484,2=3,1=1#2=4
598,485,485,4=2,1=4
599,486,486,1=1,1=5
600,487,487,3=2,2=2
601,488,488,1=2,3=1
602,489,489,2=5,1=5
603,490,490,2=3,2=2
604,491,491,3=1,3=1
605,492,492,3=2,1=3
606,493,493,1=2,2=2
607,494,494,1=5,3=1
608,495,495,2=6,3=2
609,496,496,1=4,2=4
610,497,497,2=6,1=3
611,498,498,1=5,1=5
612,499,499,2=2,2=2
