Tiempo de inicio Orden, OrdenId, ClienteId, Direccion, Tipos de productos y tiempo de coccion
206,169,169,1=2,3=1
207,170,170,2=2,3=0
208,171,171,2=1,2=3
209,172,172,2=6,1=2
210,173,173,6=2,3=2
211,174,174,1=3,1=4
212,175,175,4=4,2=1#3=3
213,176,176,3=3,1=1#2=4
214,177,177,1=3,1=4
215,178,178,2=2,1=5
216,179,179,2=1,2=2
217,180,180,2=6,3=1
218,181,181,6=3,1=5
219,182,182,1=4,2=2
220,183,183,4=5,3=1
221,184,184,3=4,3=2
222,185,185,1=4,1=3
223,186,186,2=2,3=3
224,187,187,1=1,2=1#3=3
225,188,188,2=1,1=1#2=4
226,189,189,3=1,1=4
227,190,190,1=4,2=1
228,191,191,1=3,3=1
229,192,192,2=1,2=4
230,193,193,3=2,3=3
231,194,194,2=3,1=1#2=3
232,195,195,4=1,2=1
233,196,196,1=3,3=1
234,197,197,1=4,1=1
235,198,198,2=2,2=2
236,199,199,3=3,3=2
